id,question,a,b,c,d,answer
1,Trang thi?t b? an toàn trên tàu th?y g?m nh?ng lo?i:,a. C?u h?a; c?u sinh; c?u ??m.,b. Các thi?t b? thông tin c?u n?n.,"c. Danh m?c các tr?m b? trong th?c hi?n c?u h?, c?u n?n.",d. T?t c? các ý trên.,d
2,"Quy ??nh vi?c s? d?ng trang, thi?t b? b?o h? lao ??ng:",a. Ng??i lao ??ng ph?i s? d?ng vào vi?c gì  c?ng ???c.,"b. Ng??i lao ??ng s? d?ng các trang, thi?t b? nào c?ng ???c. ","c. Ng??i lao ??ng ch? m?t lo?i cho trang, thi?t b? quan tr?ng.","d. Ng??i lao ??ng ph?i s? d?ng ?úng m?c ?ích và ?? các trang, thi?t b? ???c cung c?p.",d
3,"Trong th?i gian làm vi?c, ng??i lao ??ng ph?i ch?p hành quy ??nh ?i l?i t?i hi?n tr??ng:",a. Tùy ý ?i l?i.,b. Ch? ???c phép ?i l?i trong ph?m vi ???c phân công.,c. Trong và ngoài ph?m vi khu v?c mình làm vi?c.,d. Ch? ???c phép ?i l?i trên boong.,b
4,"Khi x?y ra s? c? tai n?n lao ??ng, nh?ng ng??i có m?t t?i hi?n tr??ng ph?i:","a. T?t công t?c ?i?n, cho ng?ng máy.","b. Kh?n tr??ng s? c?u n?n nhân, báo ngay cho ng??i ph? trách.",c. Tham gia b?o v? hi?n tr??ng ?? ng??i có trách nhi?m x? lý.,d. T?t c? vi?c trên.,d
5,"?? ??m b?o an toàn phòng, ch?a cháy trên tàu thì thuy?n viên:",a. Bi?t s? d?ng các trang b? c?u h?a.,b. Th??ng xuyên di?n t?p phòng ch?a cháy trên tàu. ,"c. Th??ng xuyên ki?m tra ???ng dây d?n ?i?n ?? tránh b? h?, b? ch?p di?n.",d. T?t c? các công vi?c trên.,d
6,"Khi có s? c? ho?c nghi ng? thi?t b? có s? c?, tr??c h?t ng??i lao ??ng ph?i:",a. Báo cho ng??i ph? trách an toàn bi?t.,"b. Ti?n hành t? s?a ch?a, kh?c ph?c.",c. L?p t?c r?i kh?i hi?n tr??ng.,d. D?ng ho?t ??ng.,a
7,"Khi x?y ra tai n?n lao ??ng, nh?ng ng??i có m?t t?i hi?n tr??ng ph?i làm:","a. T?t công t?c ?i?n, cho ng?ng máy.","b. Kh?n tr??ng s? c?u n?n nhân, báo ngay cho ng??i ph? trách.",c. Tham gia b?o v? hi?n tr??ng ?? ng??i có trách nhi?m x? lý.,d. T?t c? các ý trên .,d
8,"Khi có ng??i vi ph?m v? nguyên t?c an toàn lao ??ng x?y ra t?i n?i làm vi?c, ng??i lao ??ng có ngh?a v? báo cho: ",a. Ng??i ph? trách s?n xu?t.,b. Ng??i lãnh ??o c? s? s?n xu?t.,c. ??i di?n lãnh ??o v? an toàn.,d. Ng??i cùng làm vi?c.,c
9,"Trong quy ??nh an toàn lao ??ng, ng??i lao ??ng ???c s? d?ng và v?n hành thi?t b? là:",a. Ng??i m?i vào làm vi?c.,b. Ng??i ?ã ???c hu?n luy?n v? quy t?c an toàn và v?n hành thi?t b?.,c. Ng??i ???c hu?n luy?n v?n hành thi?t b?.,d. Ng??i ?ã làm vi?c lâu n?m.,b
10,"Khi tr?c ca tàu hành trình, thuy?n viên làm nhi?m v? c?nh gi?i n?u phát hi?n có hi?n t??ng khác th??ng ph?i báo cho:",a. Thuy?n tr??ng.,b. Thuy?n phó.,c. Ng??i ph? trách ca.,d. Máy tr??ng.,c
11,"Thuy?n phó khi tr?c ca b?, tr??ng h?p tàu ??u trong c?u c?ng c?n n?m rõ:","a. Th?y tri?u, n?i qui c?a c?ng.
",b. ?i?u ki?n thiên nhiên.,c. Báo hi?u khu v?c c?u tàu.,d. Làm theo s? ch? ??o c?a c? quan C?ng v?.,a
12,"Ng??i tr?c ca khi tàu hành trình, n?u có báo ??ng ph?i ?:",a. V? trí cao nh?t.,b. V? trí qui ??nh; ch? ra kh?i v? trí khi có ng??i thay th?.,c. Nh?ng n?i c?n thi?t.,d. M?i tàu.,b
13,"Khi x?y ra cháy, n? trên ph??ng ti?n, thuy?n tr??ng ph?i có m?t ? ?? ch? huy:",a. Bu?ng lái.,b. M?i tàu.,c. Lái tàu.,d. V? trí cao nh?t.,a
14,"Khi x?y ra cháy, n? trên ph??ng ti?n, ng??i ch? huy vi?c c?u ng??i và di chuy?n tài s?n là:",a. Thuy?n tr??ng.,b. Thuy?n phó.,c. Máy tr??ng.,d. Th?y th?.,b
15,"Khi x?y ra cháy n? trên ph??ng ti?n th?y, ng??i tr?c ti?p s? d?ng các trang thi?t b? phù h?p ?? ch?a cháy là:",a. Thuy?n tr??ng.,b. Thuy?n phó.,c. Thuy?n viên.,d. Th? máy.,c
16,"Khi x?y ra cháy n? trên ph??ng ti?n, th? máy có nhi?m v?:",a. H? tr? ?ng c?u.,"b. ?óng c?a thông gió, phun n??c làm mát và ch?a cháy.","c. Di chuy?n tài s?n, tham gia c?u ng??i.",d. T?t c? các nhi?m v? trên.,d
17,"Khi x?y ra cháy n? trên ph??ng ti?n, ng??i c?t ?i?n, ch?y b?m n??c c?u h?a, v?n hành tr?m CO2 là:",a. Thuy?n tr??ng.,b. Máy tr??ng.,c. Th?y th?.,d. Th? máy.,b
18,"Tai n?n ??i v?i ng??i làm vi?c trên tàu th?y, n?n nhân có th? b?:",a. G?y x??ng. ,"b. Ng?t, ch?t ?u?i. ","c. Ch?n th??ng ph?n m?m, n?i t?ng.",d. T?t c? các tr??ng h?p trên.,d
19,"Khi làm dây v?i tr?ng qu?n dây, ng??i làm dây ph?i ?? tay gi? dây cách tr?ng ít nh?t là:","a. 0,5 m.

","b. 1,0 m.","c. 1,5 m.","d. 2,0 m.",b
20,"Thuy?n viên làm vi?c trên ph??ng ti?n ch? hóa ch?t, ngoài các giâ?y ch?ng nh?n kh? n?ng chuyên môn theo ch?c danh trên ph??ng ti?n ph?i có:",a. Ch?ng nh?n v? s? d?ng hóa ch?t.,b. Ch?ng nh?n v? s?n xu?t hóa ch?t.,c. Ch?ng nh?n mua bán hóa ch?t.,d. Ch?ng ch? an toàn làm vi?c trên ph??ng ti?n ch? hóa ch?t.,d
21,Ph??ng ti?n ???c phép chuyên ch? hóa ch?t là:,a. Tàu t? hành.,b.       ?oàn tàu ??y.,c.        ?oàn tàu kéo.,"d.       Ph??ng ti?n có gi?y ch?ng nh?n an toàn k? thu?t và b?o v? môi tr??ng phù h?p v?i lo?i, nhóm hàng chuyên ch?.",d
22,Trang thi?t b? b?o v? ng??i làm công tác v?n t?i hóa ch?t ph?i b?o ??m nguyên t?c là:,"a. B?n, ??p.
",b. Không cháy.,c. Cách nhi?t.,d. Toàn thân ???c b?o v?.,d
23,Ng??i làm công tác v?n t?i hóa ch?t s? d?ng trang thi?t b? b?o v? khi:,"a. M?i lúc, m?i n?i.



",b. B?t k? công vi?c nào có th? t?o ra nguy hi?m cho ng??i lao ??ng.,c. Ch? khi x?p hàng.,d. Ch? khi d? hàng.,b
24,Dung tích chai khí d? tr? cho m?i thi?t b? th? trên ph??ng ti?n ch? hóa ch?t ???c quy ??nh là:,"a. 60 lít.


",b. 600 lít.,c. 1000 lít.,d. 6000 lít.,d
25,Th?i gian t?i thi?u ph?i ki?m tra thi?t b? th? c?a ph??ng ti?n ch? hóa ch?t là:,"a. 1 tháng.
",b. 3 tháng.,c. 6 tháng.,d. 1 n?m.,a
26,"Trên ph??ng ti?n ch? hóa ch?t, hàng hóa nguy hi?m ng??i quy?t ??nh s? ?? x?p d? hàng hóa là:","a. Th?y th?.
",b. Thuy?n phó.,c. Thuy?n tr??ng.,d. Máy tr??ng.,c
27,Qu?n áo trang thi?t b? b?o v? ng??i làm vi?c trên ph??ng ti?n ch? hóa ch?t ???c c?t gi? trên ph??ng ti?n ?:,"a. T? cá nhân. 
",b. Gi??ng cá nhân.,c. T? chuyên dùng.,d. N?i làm vi?c.,c
28,Thuy?n viên ???c phép vào làm vi?c trong khu v?c kín khi n?ng ?? Ôxy l?n h?n:,"a. 18%.
",b. 19%.,c. 20%.,d. 21%.,d
29,"Khi làm vi?c trong khu v?c kín, nghi ng? có t?n ??ng h?i ??c, ng??i lao ??ng nh?t thi?t ph?i mang:",a. M? b?o hi?m.,b. Kh?u trang.,c. M?t n? phòng ??c có d??ng khí và bu?c dây an toàn.,d. Qu?n áo b?o v? kín ng??i.,c
30,Khi khí và h?i phát cháy thì dùng lo?i bình ch?a cháy hóa h?c ?? d?p cháy t?t nh?t là:,a. Bình b?t.,b. Bình b?t.,c. Bình  CO2.,d. Bình axit baz?.,b
31,S? d?ng lo?i bình hóa h?c ?? d?p cháy ph?i ?eo m?t n? phòng ng?t:,a. Bình b?t.,b. Bình b?t.,c. Bình  CO2.,d. Bình axit baz?.,c
32,"Các thi?t b? ?i?n, hóa ch?t không gây ph?n ?ng v?i CO2 thì dùng lo?i bình ch?a cháy hóa h?c t?t nh?t ?? d?p cháy là:",a. Bình  CO2.,b. Bình b?t.,c. Bình b?t.,d. Bình axit baz?.,a
33,Khi s? d?ng lo?i bình ch?a cháy nào sau ?ây ph?i ?eo m?t n? phòng ng?t:,a. Bình b?t.,b. Bình b?t.,c. Bình  CO2.,d. Bình axit baz?.,c
34,?ám cháy khí và h?i thu?c lo?i:,a. Lo?i A.,b. Lo?i B.,c. Lo?i C.,d. Lo?i D.,c
35,Bi?n c?m hút thu?c lá là:,,,,,
36,Bi?n ch? v? trí ??t thi?t b? ch?a cháy là:,,,,,
37,Bi?n ch? l?i ?i an toàn là:,,,,,
38,Bi?n ch? chú ý nguy hi?m là:,,,,,
39,Trang thi?t b? c?u h?a trên tàu ???c s?n:,,,,,
40,Trang thi?t b? c?u h?a trên tàu th??ng ???c ?? ? ?âu:,,,,,
41,Tàu có ?? tiêu chu?n v? c?u trúc ?? ch? hóa ch?t gây nguy hi?m và ô nhi?m nghiêm tr?ng là:,,,,,
42,Tàu có ?? tiêu chu?n v? c?u trúc ?? ch? hóa ch?t gây nguy hi?m và ô nhi?m nghiêm tr?ng ?áng k? là:,,,,,
43,Tàu có ?? tiêu chu?n v? c?u trúc ?? ch? hóa ch?t gây nguy hi?m và ô nhi?m t??ng ??i nghiêm tr?ng ?áng k? là:,,,,,
44,"Khoang, két ch?a hàng hóa ch?t nguy hi?m ph?i có k?t c?u ?áy ?ôi ? lo?i tàu na?o:",,,,,
45,"Khoang, két ch?a hàng c?a ph??ng ti?n ch? xô hóa ch?t ph?i ???c cách ly kh?i khu v?c na?o: ",,,,,
46,Thuy?n viên trên ph??ng ti?n ch? hóa ch?t ???c hu?n luy?n thích ?áng trình t? x?p d? hàng là:,,,,,
47,"Nh?ng n?i nào trên ph??ng ti?n ch? hóa ch?t, thuy?n viên không ???c vào khi không có s? giám sát c?a s? quan có trách nhi?m khi làm hàng:",,,,,
48,"N?p két hàng luôn ph?i ?óng kín khi x?p, d? lo?i hàng hóa ch?t nào: ",,,,,
49,Két ch?a lo?i ha?ng hóa ch?t nào sau ?ây không ???c ??t trên boong tàu n?u không ???c cách nhi?t:,,,,,
50,"??i t??ng thuy?n viên trên ph??ng ti?n ch? hóa ch?t ???c ?ào t?o, hu?n luy?n quy trình ?ng c?u kh?n c?p ?? x? lý các tình tr?ng rò r?, tràn ho?c cháy có liên quan ??n hàng hóa ch?t là:",,,,,
51,"Tàu ch? hàng có ph?n ?ng nguy hi?m v?i các hàng hóa khác, c?u trúc ph?i th?a mãn nh?ng yêu c?u na?o: ",,,,,
52,C? quan ch?c n?ng ch?p nh?n b?n h??ng d?n v?n hành trên ph??ng ti?n ch? hóa ch?t là:,,,,,
